"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1269","TC_PD_5: Verify negative quantity is rejected","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","1173","TC_PD_6: Verify special characters are rejected","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","1257","TC_PD_7: Verify user must login to use Buy Now action","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30136","TC_CP_1 : change password successfully","chromium","2026-03-22","broken","2026-03-22","Happy Case : change password successfuly ","change-password.spec.ts","",""
"","30111","TC_PD_9: Verify user cannot review without login","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","think","chromium","2026-03-22","skipped","2026-03-22","TC_5: verify that the product list is display correctly when searching with a partial laptop model name )","search.spec.ts","",""
"","1","TC_CP_12 : Verify that change password failed if the new password is the same as the old password.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","30114","TC_PD_2: Verify product info is consistent between list pages and detail page","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30114","TC_PD_10: Verify review accepts 1800 characters maximum","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","yoga","chromium","2026-03-22","skipped","2026-03-22","TC_5: verify that the product list is display correctly when searching with a partial laptop model name )","search.spec.ts","",""
"","2","Checkout main successfully","chromium","2026-03-22","skipped","2026-03-22","","E2E.spec.ts","",""
"","0","TC_12: Verify that the product list is display correctly when user searches with speace before keyword.","chromium","2026-03-22","skipped","2026-03-22","","search.spec.ts","",""
"","26335","Laptop legion","chromium","2026-03-22","failed","2026-03-22","Search with keyword","search.spec.ts","",""
"","0","thinkpad","chromium","2026-03-22","skipped","2026-03-22","TC_5: verify that the product list is display correctly when searching with a partial laptop model name )","search.spec.ts","",""
"","30103","TC_PD_10: Verify review with more than 1800 characters is rejected","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","5366","TC_PD_1: Verify all elements on Product Detail page are displayed correctly","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30097","TC_PD_10: Verify review with less than 20 characters is rejected","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30075","TC_CP_18 : Verify that change password failed if empty/blank new password.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","26314","Searching for lenovo","chromium","2026-03-22","failed","2026-03-22","TC_3: Verify that the product list is displays correctly when searching with a partial laptop brand name","search.spec.ts","",""
"","4563","yoga","chromium","2026-03-22","failed","2026-03-22","TC_4: verify that the product list is display correctly when searching with laptop model name. ( 1, 2, more than two product name matching )","search.spec.ts","",""
"","30081","TC_CP_11 : Verify that change password failed if the new password exceeds 256 characters.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","0","TC_CP_14 : Verify that change password failed if the new password starts with a space.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","26340","Searching for legion","chromium","2026-03-22","failed","2026-03-22","TC_3: Verify that the product list is displays correctly when searching with a partial laptop brand name","search.spec.ts","",""
"","30137","TC_PD_10: Verify review accepts 20 characters minimum","chromium","2026-03-22","broken","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","check title","chromium","2026-03-22","skipped","2026-03-22","","workingwithAPI.spec.ts","",""
"","2859","Login failed with incorrect password","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","30081","TC_CP_17 : Verify that change password failed if empty/blank old password.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","0","TC_11: Verify that the product list is display correctly when user searches with speace between keyword.","chromium","2026-03-22","skipped","2026-03-22","","search.spec.ts","",""
"","30072","TC_CP_03 : Verify that change password failed if the new password does not contain an uppercase letter.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","30066","TC_CP_02 : Verify that change password failed if the new password is too short.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","14516","Searching for dell","chromium","2026-03-22","failed","2026-03-22","TC_3: Verify that the product list is displays correctly when searching with a partial laptop brand name","search.spec.ts","",""
"","0","TC_8: Verify that notification ""Vui lòng nhập đúng định dạng "" is display when searches with a special character keyword","chromium","2026-03-22","skipped","2026-03-22","","search.spec.ts","",""
"","30074","TC_CP_05 : Verify that change password failed if the new password does not contain a number.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","30055","TC_CP_07 : Verify that change password failed if confirmation does not match the new password.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","1231","TC_PD_7: Verify user must login to use Add to Cart action","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","5529","Login succesfully with login button","chromium","2026-03-22","passed","2026-03-22","Login succesfully","1Login.spec.ts","",""
"","30070","TC_CP_20 : Verify that change password failed if new password contains Unicode hoặc emoji.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","1177","TC_PD_5: Verify quantity does not accept invalid values","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","2603","Login failed with empty/blank Email","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","30109","TC_CP_04 : Verify that change password failed if the new password does not contain a lowercase letter.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","1050","TC_PD_4: Verify quantity accepts valid values (1–100)","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","TC_CP_11 : Verify that user can change password with a 256-character long password.","chromium","2026-03-22","skipped","2026-03-22","Happy Case : change password successfuly ","change-password.spec.ts","",""
"","2469","Login failed with empty/blank password","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","3243","TC_PD_8: Verify Add to Cart works correctly with valid quantity","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30064","TC_CP_19 : Verify that change password failed if empty/blank confirm password.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","0","TC_CP_16 : Verify that change password failed if the new password contains multiple spaces.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","3264","orderditail check","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","30071","TC_CP_06 : Verify that change password failed if the new password does not contain a special character.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","26275","Laptop dell","chromium","2026-03-22","failed","2026-03-22","Search with keyword","search.spec.ts","",""
"","30087","TC_CP_09 : Verify that all UI elements on the Change Password page are displayed correctly.","chromium","2026-03-22","broken","2026-03-22","","change-password.spec.ts","",""
"","0","TC_CP_15 : Verify that change password failed if the new password ends with a space.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","1146","TC_PD_6: Verify quantity only accepts numeric values","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","980","TC_PD_3: Verify inventory is updated after checkout","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","1","TC_CP_08 : Verify that change password failed if the current password is incorrect.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","3557","TC_PD_8: Verify Buy Now works correctly with valid quantity","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","new base","chromium","2026-03-22","skipped","2026-03-22","","newbase.spec.ts","",""
"","30090","TC_CP_13 : Verify that change password failed if the new password contains invalid characters.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","9086","checkuot Check","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","2413","Login succesfully with press Enter","chromium","2026-03-22","passed","2026-03-22","Login succesfully","1Login.spec.ts","",""
"","4096","Login failed with empty/blank Email and password","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","1","Test with existing Chrome profile","chromium","2026-03-22","skipped","2026-03-22","","check.spec.ts","",""
"","1","thinkpad","chromium","2026-03-22","skipped","2026-03-22","TC_4: verify that the product list is display correctly when searching with laptop model name. ( 1, 2, more than two product name matching )","search.spec.ts","",""
"","26164","Laptop lenovo","chromium","2026-03-22","failed","2026-03-22","Search with keyword","search.spec.ts","",""
"","17109","TC_9: Verify the product list is not display any products when searches with keyword does not exist.","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","2679","Login failed with incorrect Email","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","13346","TC_12: Verify that the CI run successfully","chromium","2026-03-22","passed","2026-03-22","","testCI.spec.ts","",""
"","0","TC_9: Verify the product list is not display any products when searches with keyword does not exist.","chromium","2026-03-22","skipped","2026-03-22","","search.spec.ts","",""
"","2933","xps","chromium","2026-03-22","failed","2026-03-22","TC_4: verify that the product list is display correctly when searching with laptop model name. ( 1, 2, more than two product name matching )","search.spec.ts","",""
